id,description
single-leg press,Quadriceps
landmine twist,Abdominals
weighted pull-up,Lats
t-bar row with handle,Middle Back
palms-down wrist curl over bench,Forearms
atlas stones,Lower Back
dumbbell front raise to lateral raise,Shoulders
clean from blocks,Quadriceps
incline hammer curls,Biceps
straight-bar wrist roll-up,Forearms
barbell glute bridge,Glutes
clean and press,Shoulders
triceps dip,Triceps
dumbbell farmer's walk,Forearms
palms-up wrist curl over bench,Forearms
barbell full squat,Quadriceps
barbell deficit deadlift,Lower Back
barbell deadlift,Hamstrings
single-arm palm-in dumbbell shoulder press,Shoulders
romanian deadlift with dumbbells,Hamstrings
tire flip,Quadriceps
clean deadlift,Hamstrings
elbow plank,Abdominals
bottoms up,Abdominals
barbell back squat to box,Quadriceps
clean and jerk,Shoulders
single-arm kettlebell push-press,Shoulders
push-press,Quadriceps
suspended ab fall-out,Abdominals
military press,Shoulders
sumo deadlift,Hamstrings
hang clean,Quadriceps
dumbbell v-sit cross jab,Abdominals
reverse band box squat,Quadriceps
standing palms-in shoulder press,Shoulders
standing cable low-to-high twist,Abdominals
decline ez-bar skullcrusher,Triceps
standing behind-the-back wrist curl,Forearms
seated finger curl,Forearms
wide-grip barbell curl,Biceps
dumbbell spell caster,Abdominals
dumbbell floor press,Triceps
lying face down plate neck resistance,Neck
pullups,Lats
decline reverse crunch,Abdominals
dumbbell bench press,Chest
jumping rope,Quadriceps
seated barbell shoulder press,Shoulders
ez-bar spider curl,Biceps
smith machine shrug,Traps
smith machine calf raise,Calves
romanian deadlift from deficit,Hamstrings
power snatch,Hamstrings
pushups,Chest
barbell walking lunge,Quadriceps
front squats with two kettlebells,Quadriceps
spider crawl,Abdominals
power clean from blocks,Hamstrings
single leg push-off,Quadriceps
hip circles (prone),Abductors
reverse-grip bent-over row,Middle Back
seated two-arm palms-up low-pulley wrist curl,Forearms
back extension,Lower Back
close-grip bench press,Chest
cocoons,Abdominals
cross-body crunch,Abdominals
dumbbell flyes,Chest
hammer curls,Biceps
incline dumbbell bench press,Chest
low-cable cross-over,Chest
single-arm high-cable side bend,Abdominals
seated dumbbell press,Shoulders
standing dumbbell shoulder press,Shoulders
ez-bar curl,Biceps
olympic squat,Quadriceps
natural glute ham raise,Hamstrings
axle deadlift,Lower Back
zottman curl,Biceps
glute ham raise-,Hamstrings
single-arm lateral raise,Shoulders
power partials,Shoulders
leverage shrug,Traps
cable v-bar push-down,Triceps
wrist roller,Forearms
incline dumbbell reverse fly,Shoulders
stair climber,Quadriceps
elbow-to-knee crunch,Abdominals
kettlebell pistol squat,Quadriceps
overhead dumbbell front raise,Shoulders
biceps curl to shoulder press,Biceps
weighted bench dip,Triceps
barbell hip thrust,Glutes
forward lunge,Quadriceps
barbell bench press - medium grip,Chest
chest dip,Chest
seated dumbbell shoulder press,Shoulders
barbell curl,Biceps
ez-bar skullcrusher,Triceps
one-arm dumbbell row,Middle Back
alternating standing shoulder press,Shoulders
concentration curl,Biceps
decline crunch,Abdominals
decline dumbbell flyes,Chest
single-arm incline rear delt raise,Shoulders
alternating dumbbell front raise,Shoulders
hanging toes-to-bar,Abdominals
narrow-stance squat,Quadriceps
kneeling cable oblique crunch,Abdominals
reverse grip triceps pushdown,Triceps
bear crawl sled drag,Quadriceps
rocky pull-ups/pulldowns,Lats
snatch-grip behind-the-neck overhead press,Shoulders
box squat with bands,Quadriceps
flexor incline dumbbell curls,Biceps
seated one-arm dumbbell palms-up wrist curl,Forearms
thigh adductor,Adductors
machine bicep curl,Biceps
seated palms-down barbell wrist curl,Forearms
car driver,Shoulders
alternating deltoid raise,Shoulders
hanging oblique knee raise,Abdominals
bodyweight flyes,Chest
standing calf raises,Calves
push-ups - close triceps position,Triceps
one-arm long bar row,Middle Back
overhead cable curl,Biceps
single-dumbbell front raise,Shoulders
incline cable chest fly,Chest
single-leg depth squat,Quadriceps
dumbbell suitcase crunch,Abdominals
plate twist,Abdominals
single-leg cable hip extension,Glutes
weighted jump squat,Quadriceps
squat with chains,Quadriceps
gorilla chin/crunch,Abdominals
kneeling cable triceps extension,Triceps
kneeling cable crunch with alternating oblique twists,Abdominals
bicycling,Quadriceps
arnold press,Shoulders
weighted crunches,Abdominals
single-arm cable triceps extension,Triceps
barbell roll-out,Abdominals
kneeling cable crunch,Abdominals
exercise ball pull-in,Abdominals
hanging leg raise,Abdominals
barbell ab rollout - on knees,Abdominals
barbell squat,Quadriceps
decline barbell bench press,Chest
dumbbell bicep curl,Biceps
dumbbell goblet squat,Quadriceps
dumbbell squat,Quadriceps
barbell front squat,Quadriceps
close-grip pull-down,Lats
triceps pushdown - rope attachment,Triceps
side-to-side box skip,Quadriceps
smith machine shoulder press,Shoulders
seated triceps press,Triceps
dumbbell lying supination,Forearms
pull-up,Lats
wide-grip bench press,Chest
close-grip ez-bar curl,Biceps
t-bar row,Middle Back
bent over two-arm long bar row,Middle Back
muscle up,Lats
machine shoulder press,Shoulders
incline ez-bar skullcrusher,Triceps
alternating sit-through with crunch,Middle Back
wide-grip decline barbell bench press,Chest
rower,Middle Back
snatch deadlift,Hamstrings
front plate raise,Shoulders
decline close-grip bench to skull crusher,Triceps
lying leg curls,Hamstrings
cross-body hammer curl,Biceps
shotgun row,Lats
ab roller,Abdominals
reverse-grip incline dumbbell bench press,Chest
leg press,Quadriceps
stiff-legged dumbbell deadlift,Hamstrings
cable crossover,Chest
barbell incline bench press medium-grip,Chest
incline dumbbell flyes,Chest
seated cable rows,Middle Back
tricep dumbbell kickback,Triceps
otis-up,Abdominals
mountain climber,Abdominals
ab bicycle,Abdominals
barbell forward lunge,Quadriceps
3/4 sit-up,Abdominals
exercise ball leg curl,Hamstrings
glute bridge,Glutes
close-grip front lat pulldown,Lats
dip machine,Triceps
incline dumbbell row,Middle Back
dumbbell lunges,Quadriceps
single-arm standing shoulder press,Shoulders
preacher curl,Biceps
reverse crunch,Abdominals
standing dumbbell triceps extension,Triceps
elliptical trainer,Quadriceps
bodyweight squat,Quadriceps
bent over two-dumbbell row with palms in,Middle Back
hex-bar deadlift,Quadriceps
narrow-stance leg press,Quadriceps
single-leg glute bridge,Glutes
barbell curls lying against an incline,Biceps
standing hip circles,Abductors
clam,Abductors
narrow stance hack squats,Quadriceps
seated close-grip concentration barbell curl,Biceps
dumbbell lying pronation,Forearms
smith machine box squat,Quadriceps
drop push,Chest
upside-down pull-up,Middle Back
reverse barbell preacher curls,Biceps
close-grip ez-bar bench press,Chest
incline push-up,Chest
hyperextensions with no hyperextension bench,Lower Back
dumbbell front raise,Shoulders
parallel bar dip,Triceps
stairmaster,Quadriceps
double leg butt kick,Quadriceps
groiners,Adductors
neck press,Chest
broad jump,Quadriceps
machine squat,Quadriceps
v-bar pull-up,Lats
ring dip,Triceps
standing one-arm cable curl,Biceps
burpee,Quadriceps
double-arm triceps kick-back,Triceps
dumbbell reverse lunge,Quadriceps
seated calf raise,Calves
standing dumbbell shrug,Traps
calf press on the leg press machine,Calves
barbell step-up,Quadriceps
feet-elevated bench dip,Triceps
bent over barbell row,Middle Back
crunches,Abdominals
dumbbell alternate bicep curl,Biceps
bent-over dumbbell rear delt row,Shoulders
external rotation with cable,Shoulders
handstand push-up,Shoulders
single-arm dumbbell preacher curl,Biceps
step-up with knee raise,Glutes
smith machine back squat,Quadriceps
incline dumbbell front raise,Shoulders
alternate incline dumbbell curl,Biceps
standing dumbbell upright row,Traps
single-arm cable front raise,Shoulders
two-arm kettlebell military press,Shoulders
incline cable chest press,Chest
rope climb,Lats
trail running/walking,Quadriceps
standing bradford press,Shoulders
neutral-grip dumbbell bench press,Chest
cable chest press,Chest
standing concentration curl,Biceps
wide-grip rear pull-up,Lats
kettlebell pass-through lunge,Hamstrings
hands-elevated push-up,Chest
deadlift with bands,Lower Back
straight-arm rope pull-down,Lats
barbell shoulder press,Shoulders
power clean,Hamstrings
hang snatch,Hamstrings
kettlebell sumo deadlift high pull,Traps
calf-machine shoulder shrug,Traps
bench press - powerlifting,Triceps
rocking standing calf raise,Calves
goblet squat,Quadriceps
behind-the-head skullcrusher,Triceps
seated palms-up wrist curl,Forearms
reverse cable curl,Biceps
dumbbell side bend,Abdominals
lat pull-down,Lats
side lateral raise,Shoulders
alternating incline dumbbell biceps curl,Biceps
kettlebell one-legged deadlift,Hamstrings
alternate hammer curl,Biceps
decline push-up,Chest
captain's chair knee raise,Abdominals
triceps pushdown,Triceps
low cable overhead triceps extension,Triceps
single-arm cable cross-over,Chest
seated dumbbell biceps curl,Biceps
battle ropes,Shoulders
dead bug reach,Abdominals
deadlift with chains,Lower Back
rope crunch,Abdominals
palms-up dumbbell wrist curl over a bench,Forearms
kettlebell thruster,Glutes
single-arm push-up,Chest
band hip adductions,Adductors
single-arm kettlebell clean,Hamstrings
preacher hammer dumbbell curl,Biceps
alternating kettlebell press,Shoulders
split squat with dumbbells,Quadriceps
standing one-arm dumbbell curl over incline bench,Biceps
standing olympic plate hand squeeze,Forearms
sledgehammer swing,Abdominals
kneeling squat,Glutes
single-arm kettlebell snatch,Shoulders
close-grip barbell curl,Biceps
box jump,Hamstrings
standing cable crunch,Abdominals
leverage incline chest press,Chest
standing barbell overhead triceps extension,Triceps
lying cable triceps extension,Triceps
kettlebell turkish get-up (squat style),Shoulders
crunch - hands overhead,Abdominals
cable internal rotation,Shoulders
leg extensions,Quadriceps
close push-up to wide push-up,Chest
single-arm dumbbell triceps extension,Triceps
butterfly,Chest
decline dumbbell bench press,Chest
v-up,Abdominals
seated face pull,Shoulders
barbell bulgarian split squat,Quadriceps
reverse-grip lat pull-down,Lats
standing biceps cable curl,Biceps
single-arm cable seated row,Middle Back
single-arm kettlebell row,Chest
scissors jump,Quadriceps
wide stance stiff legs,Hamstrings
rack pull with bands,Lower Back
drag curl,Biceps
hang clean - below the knees,Quadriceps
decline oblique crunch,Abdominals
dumbbell external shoulder rotation,Shoulders
single-arm bent-over cable rear delt fly,Shoulders
clean,Hamstrings
single-arm incline lateral raise,Shoulders
decline bar press sit-up,Abdominals
barbell rear delt bent-over row,Shoulders
calf press,Calves
kettlebell alternating renegade row,Middle Back
bosu ball cable crunch with side bends,Abdominals
stomach vacuum,Abdominals
hammer grip incline db bench press,Chest
wide-grip hands-elevated push-up,Chest
decline dumbbell triceps extension,Triceps
jumping jack-,Quadriceps
push-ups with feet on an exercise ball,Chest
seated cable shoulder press,Shoulders
barbell hack squat,Quadriceps
feet-elevated push-up,Chest
good morning,Hamstrings
leverage chest press,Chest
gironda sternum chins,Lats
exercise ball crunch,Abdominals
seated rear delt fly,Shoulders
standing face pull,Shoulders
glute ham raise,Hamstrings
russian twist,Abdominals
seated flat bench leg pull-in,Abdominals
barbell shrug,Traps
standing cable rear delt row,Shoulders
flat bench lying leg raise,Abdominals
hack squat,Quadriceps
dumbbell skullcrusher,Triceps
man-maker,Middle Back
pallof press,Abdominals
knees tucked crunch,Abdominals
straight-arm dumbbell pull-over,Chest
arms-crossed jump squat,Quadriceps
decline smith press,Chest
band skull crusher,Triceps
side wrist pull,Shoulders
isometric wipers,Chest
skating,Quadriceps
cable cross-over,Chest
treadmill running,Quadriceps
one arm pronated dumbbell triceps extension,Triceps
single-arm kettlebell clean and jerk,Shoulders
side to side chins,Lats
incline dumbbell bench with palms facing in,Chest
seated palms-down wrist curl,Forearms
standing leg swing,Hamstrings
clock push-up,Chest
machine seated row,Lats
lying face up plate neck resistance,Neck
weighted sissy squat,Quadriceps
jog in place,Quadriceps
dumbbell raise,Shoulders
palms-down dumbbell wrist curl over a bench,Forearms
one arm supinated dumbbell triceps extension,Triceps
stationary bike,Quadriceps
dumbbell bent-over row,Middle Back
barbell thruster,Quadriceps
flutter kicks,Glutes
dumbbell sumo squat,Quadriceps
barbell upright row,Shoulders
superman,Lower Back
straight-arm pulldown,Lats
barbell stiff-legged deadlift,Hamstrings
standing one-arm dumbbell triceps extension,Triceps
smith machine bench press,Chest
seated side lateral raise,Shoulders
dumbbell lying rear lateral raise,Shoulders
dumbbell preacher curl,Biceps
front raise and pullover,Chest
dumbbell seated box jump,Quadriceps
middle back shrug,Middle Back
incline face-down bar front raise,Shoulders
butt-ups,Abdominals
band good morning (pull through),Hamstrings
bodyweight reverse lunge,Quadriceps
seated one-arm dumbbell palms-down wrist curl,Forearms
glute kickback,Glutes
treadmill jogging,Quadriceps
plate pinch,Forearms
yates row reverse grip,Middle Back
linear acceleration wall drill,Hamstrings
reverse-grip bench press,Triceps
leverage decline chest press,Chest
chain handle extension,Triceps
